Strategy,Mean_IoU,Std_IoU,T_Statistic,P_Value_TTest,W_Statistic,P_Value_Wilcoxon,Significant_vs_IMSE
UNet (Fixed),0.4407945162873648,0.24957868355963675,17.188082677590945,2.6742852030652786e-62,192203.0,6.550156924650145e-66,True
DeepLabV3Plus (Fixed),0.4119411505328911,0.24900035960617162,29.17499106526145,6.522030951699515e-159,320908.0,1.3471035906656592e-165,True
LinkNet (Fixed),0.4572411593366637,0.22567846427411983,8.756144355930147,3.898685223246564e-18,134569.0,2.3717782499910423e-19,True
Random Selection,0.43625516066925657,0.24198149588692833,19.231485017111822,2.0464261699685193e-76,206849.0,2.838269798899471e-83,True
IMSE (Ours),0.46549789765704735,0.2335261346451654,,,,,
Oracle (Upper Bound),0.4836900774920441,0.23817650707041493,,,,,
