image_id,blur,brightness,contrast,particle_density,edge_density
100_jpg.rf.f1b9d16649ab385e3691fa54301a3b61_blur5,21.597932962471795,39.76122197194466,39.51579744016409,1295.0,0.019825952350238644
100_jpg.rf.f1b9d16649ab385e3691fa54301a3b61_blur9,6.630373835521681,39.75932339058846,38.69028040736047,400.0,0.014153361712824686
100_jpg.rf.f1b9d16649ab385e3691fa54301a3b61_bright0.5,55.09149488151875,19.427680257730767,20.207395485881783,1113.0,0.020672706404569825
100_jpg.rf.f1b9d16649ab385e3691fa54301a3b61_bright1.5,382.2993864467451,57.141798227770224,53.192968877552424,3608.0,0.0611713651593783
100_jpg.rf.f1b9d16649ab385e3691fa54301a3b61_combo0,6.630373835521681,39.75932339058846,38.69028040736047,400.0,0.014153361712824686
100_jpg.rf.f1b9d16649ab385e3691fa54301a3b61_combo1,7989.640545205391,21.19122088042576,20.484845147693203,5438.0,0.3507414059424935
100_jpg.rf.f1b9d16649ab385e3691fa54301a3b61_gamma0.5,229.06444574694913,12.134124519152849,32.706699054004915,334.0,0.026854672527792386
100_jpg.rf.f1b9d16649ab385e3691fa54301a3b61_gamma2.0,229.03597095643278,92.1192864774039,39.1391031447575,3697.0,0.07607886720184169
100_jpg.rf.f1b9d16649ab385e3691fa54301a3b61_noise15,1981.1555680647016,39.8301596594461,41.1744567694583,3403.0,0.16027135821334895
100_jpg.rf.f1b9d16649ab385e3691fa54301a3b61_noise50,13596.593266956254,47.82239002947101,44.440538353305556,4872.0,0.3631549526843096
106_jpg.rf.e8dc04354de3fadaea50922857adf45e_blur5,18.448158856476088,26.236277457488647,33.88560929052322,1589.0,0.02655037028951712
106_jpg.rf.e8dc04354de3fadaea50922857adf45e_blur9,5.507416109772088,26.229754805163875,33.178913585627114,378.0,0.01571787213352253
106_jpg.rf.e8dc04354de3fadaea50922857adf45e_bright0.5,52.990076310884085,12.608541631523066,17.40632454116048,1043.0,0.02608068640000529
106_jpg.rf.e8dc04354de3fadaea50922857adf45e_bright1.5,409.84127784316746,38.33114037263794,48.029143397180576,3560.0,0.07839421031915352
106_jpg.rf.e8dc04354de3fadaea50922857adf45e_combo0,3.4007492952108542,6.658523274159778,22.240724994772524,115.0,0.012033168943972003
106_jpg.rf.e8dc04354de3fadaea50922857adf45e_combo1,9887.370783104472,27.56327005831357,25.487215435683925,5304.0,0.35984070439352894
106_jpg.rf.e8dc04354de3fadaea50922857adf45e_gamma0.5,147.87802354616485,7.108232367835253,24.266969430906435,349.0,0.02717882056421604
106_jpg.rf.e8dc04354de3fadaea50922857adf45e_gamma2.0,420.08621700687576,71.77158147857811,38.303918838732734,3948.0,0.15330879069628983
106_jpg.rf.e8dc04354de3fadaea50922857adf45e_noise15,1703.39973529543,27.31181056524141,35.10888831778989,3747.0,0.1139810340322362
106_jpg.rf.e8dc04354de3fadaea50922857adf45e_noise50,11766.838827259244,37.94684302965955,38.55845948172357,5125.0,0.36338648699604076
10_jpg.rf.ecfa6fcdfec86c013936528ac959e40d_blur5,20.607714911168877,39.399727451038764,39.67001331939663,1646.0,0.022620902256136485
10_jpg.rf.ecfa6fcdfec86c013936528ac959e40d_blur9,6.229786661022819,39.40015744333198,38.888804408254835,413.0,0.01427905176776447
10_jpg.rf.ecfa6fcdfec86c013936528ac959e40d_bright0.5,57.531286736056245,19.156183123794783,20.29096900020147,1069.0,0.02347757920954186
10_jpg.rf.ecfa6fcdfec86c013936528ac959e40d_bright1.5,396.0875460395373,55.93594107121003,51.027241763094295,3602.0,0.05668621477784283
10_jpg.rf.ecfa6fcdfec86c013936528ac959e40d_combo0,13283.688544664334,47.684584114761634,44.408959421060516,4948.0,0.364355623472287
10_jpg.rf.ecfa6fcdfec86c013936528ac959e40d_combo1,223.74121225061458,39.38610000297687,40.611385760628764,2944.0,0.03838838888502998
10_jpg.rf.ecfa6fcdfec86c013936528ac959e40d_gamma0.5,219.58889005112755,12.17175215244219,33.004119980974714,382.0,0.029275859901895605
10_jpg.rf.ecfa6fcdfec86c013936528ac959e40d_gamma2.0,249.80673358756962,91.3749367415184,39.22318236141788,3786.0,0.06994320794096537
10_jpg.rf.ecfa6fcdfec86c013936528ac959e40d_noise15,1960.7909625162192,39.58953266452993,41.18644541013135,3383.0,0.15198242985337262
10_jpg.rf.ecfa6fcdfec86c013936528ac959e40d_noise50,13342.589289216827,47.69400425361607,44.405955037172994,4936.0,0.36299287866609775
110_jpg.rf.2c87278f41415f6dfc58e3844a3c61f3_blur5,16.19443320820344,23.10327422593118,29.097133718602255,1481.0,0.020732243799014987
