Model,Mean_IoU,Mean_Dice,Mean_Precision,Mean_Recall,Mean_F1
UNet,0.4407945162873648,0.5636659740358798,0.7135911295325199,0.5146350194562613,0.5636655814632846
DeepLabV3Plus,0.41194115053289115,0.5340556522757265,0.6662241704892821,0.49728964505473683,0.5340552646916024
LinkNet,0.4572411593366637,0.5888625679862602,0.6933132828289328,0.5990317431985052,0.5888621462749967
