image_id,blur,brightness,contrast,particle_density,edge_density
100_jpg.rf.f1b9d16649ab385e3691fa54301a3b61,213.35293336992038,39.75801026027764,40.48408830440432,3010.0,0.03495837343838376
106_jpg.rf.e8dc04354de3fadaea50922857adf45e,206.3302102069911,26.241381135245806,34.809562948796206,2794.0,0.04642593713512673
10_jpg.rf.ecfa6fcdfec86c013936528ac959e40d,223.74121225061458,39.38610000297687,40.611385760628764,2944.0,0.03838838888502998
110_jpg.rf.2c87278f41415f6dfc58e3844a3c61f3,178.63237043555006,23.107087926808695,30.028229655005603,2658.0,0.03892422543503643
111_jpg.rf.43dd53d60dae89a68f02b58f3b167ad7,159.73735984957403,23.122441959309498,30.649090230724394,2681.0,0.038494233141821384
112_jpg.rf.92193a5794943f9f116c91578f806da4,185.81837121329093,23.184688305201913,30.317598525395194,2648.0,0.04104111057086438
113_jpg.rf.e2abde6eee16765e4266a017b1a3a1d0,193.25943706470213,24.21985175188783,31.631236540127365,2646.0,0.04113372429555685
114_jpg.rf.2fbc0ca69bdb966bcc642e80dc195efc,222.3863285333074,24.748652966450678,30.67849392723734,2998.0,0.04767291478545038
115_jpg.rf.b67b6f9a57244ad787dd942e85efcc4c,66.14943375791927,25.89191647565086,32.30245944204032,1946.0,0.028405952416391305
116_jpg.rf.91a6014ed9c5f347b7573c3f24e708b1,194.02682491711226,24.840945850739754,34.93351095418558,2566.0,0.04089888235080094
117_jpg.rf.da22e9ff457d8821649c8d638cfa455b,168.3593308728775,22.031273670248833,29.7122022982184,2509.0,0.036942953253222464
118_jpg.rf.0c7e43e16d89ff68409085be8b836561,173.34665647806293,20.83020596630845,28.38925389164221,2121.0,0.03600358547419881
119_jpg.rf.e35f1d7f9e075d0d21511036b11cda56,199.87296547496177,22.68706814716321,32.478583198666335,2262.0,0.042155782900198786
121_jpg.rf.2ffbea3e855456e2b977197e05d10943,183.57233095021007,21.768125002067272,30.584184708721224,1935.0,0.037313408151992355
123_jpg.rf.ad9bf1104c3cf812645aed431a1a027a,74.24640787022784,23.569471870234942,32.58697506608067,1916.0,0.03078083292814829
124_jpg.rf.e0ef75ee5b996f8e83cec07891450864,193.22275366768594,23.47290221644489,32.85264077471397,2343.0,0.042612236257611694
125_jpg.rf.f37f515011dff4fbb0b882e824432b93,203.65362253228278,24.331858129004303,34.26998090182385,2458.0,0.045539491484498776
126_jpg.rf.f7af3aff196462c418de0a98847a93f3,88.05444865739628,21.518008408003148,27.96379987697342,1873.0,0.03092306114821173
127_jpg.rf.d5a2865d579a33b7ad207f3bdfd4671a,125.68136701572844,20.61036744495272,27.669237877048737,2209.0,0.033092868412435375
128_jpg.rf.5d9b24db1406b3584c30a9a9c4c87b6d,177.56909469924304,21.949697516959887,29.54828624785686,2343.0,0.04114364719463105
129_jpg.rf.8672159b4320dbb95a5a62d7f763efe3,175.460888620182,22.051698304176547,29.73002493382433,2575.0,0.040002513801098795
12_jpg.rf.141bac2f39d8211e111ed5f947bf8136,229.95344367082924,43.036903261656924,42.98404749100835,2923.0,0.044987116769368674
